driver,test,proto,dir,size,flows,gbps,retr,loss_pct,extra
rust4,tcp_tx,tcp,tx,1500,1,2.36,0,,
rust4,tcp_rx,tcp,rx,1500,1,2.35,0,,
rust4,tcp_tx,tcp,tx,1500,10,2.36,0,,
rust4,tcp_rx,tcp,rx,1500,10,2.35,0,,
rust4,udp_rx,udp,rx,64,1,0.4151305764086526,,0.75123687010464457,
rust4,udp_rx,udp,rx,64,10,1.0401647676476955,,0.21961793942678856,
rust4,udp_rx,udp,rx,256,1,1.6524751430617248,,4.4608876960199977,
rust4,udp_rx,udp,rx,256,10,1.9252894966406775,,0.0361428762107376,
rust4,udp_rx,udp,rx,1024,1,2.3471712756694876,,0.012038950366373757,
rust4,udp_rx,udp,rx,1024,10,2.3494720772912725,,0,
rust4,udp_rx,udp,rx,1448,1,2.390102899945112,,0.015344446481397281,
rust4,udp_rx,udp,rx,1448,10,2.3921971717387174,,0,
rust4,latency,icmp,under_load,,1,,,,avg_rtt_ms=0.743
rust4,spread,tcp,rx,,16,,,,active_irq_vectors=5
rust4,tcp_tx,tcp,tx,1500,1,2.47,0,,
rust4,tcp_rx,tcp,rx,1500,1,2.47,0,,
rust0,tcp_tx,tcp,tx,1500,1,2.36,0,,
rust0,tcp_rx,tcp,rx,1500,1,2.35,0,,
rust0,tcp_tx,tcp,tx,1500,10,2.35,0,,
rust0,tcp_rx,tcp,rx,1500,10,2.35,4757,,
rust0,udp_rx,udp,rx,64,1,0.5321861511904776,,0.0902419137377723,
rust0,udp_rx,udp,rx,64,10,0.8757450985424023,,0.028194811141529379,
rust0,udp_rx,udp,rx,256,1,1.5402188201543194,,0.023287483653338662,
rust0,udp_rx,udp,rx,256,10,1.9803695855784749,,0.001895825753620898,
rust0,udp_rx,udp,rx,1024,1,2.347475416457412,,0.013432114616059575,
rust0,udp_rx,udp,rx,1024,10,2.3491060875825913,,0.00133674843498724,
rust0,udp_rx,udp,rx,1448,1,2.3899584108280636,,0.093135817547498861,
rust0,udp_rx,udp,rx,1448,10,2.3921715220643853,,0,
rust0,latency,icmp,under_load,,1,,,,avg_rtt_ms=0.851
rust0,spread,tcp,rx,,16,,,,active_irq_vectors=2
rust0,tcp_tx,tcp,tx,1500,1,2.48,0,,
rust0,tcp_rx,tcp,rx,1500,1,2.47,0,,
vendorC,tcp_tx,tcp,tx,1500,1,2.36,0,,
vendorC,tcp_rx,tcp,rx,1500,1,2.35,0,,
vendorC,tcp_tx,tcp,tx,1500,10,2.36,0,,
vendorC,tcp_rx,tcp,rx,1500,10,2.35,2312,,
vendorC,udp_rx,udp,rx,64,1,0.41145344307997117,,0.00031103554099448432,
vendorC,udp_rx,udp,rx,64,10,1.0544400039797859,,0.012988185849043779,
vendorC,udp_rx,udp,rx,256,1,1.9812864550647906,,0.11604443001377134,
vendorC,udp_rx,udp,rx,256,10,1.9871966320930974,,0.010802073723380358,
vendorC,udp_rx,udp,rx,1024,1,2.3471932471091987,,0,
vendorC,udp_rx,udp,rx,1024,10,2.3483750170606377,,0.0028485109554312674,
vendorC,udp_rx,udp,rx,1448,1,2.39001533251643,,0,
vendorC,udp_rx,udp,rx,1448,10,2.3912926643531036,,0,
vendorC,latency,icmp,under_load,,1,,,,avg_rtt_ms=0.712
vendorC,spread,tcp,rx,,16,,,,active_irq_vectors=5
vendorC,tcp_tx,tcp,tx,1500,1,2.48,0,,
vendorC,tcp_rx,tcp,rx,1500,1,2.47,0,,
